company_id,cfo_quality,free_cash_flow,capex,debt_to_equity,distress_flag
AXISBANK,-5555.0,-14556.0,9001.0,8.2491,True
BAJAJFINSV,-68674.0,-79634.0,10960.0,4.7894,True
BAJFINANCE,-72760.0,-79931.0,7171.0,3.8248,True
BANKBARODA,-6274.0,-7559.0,1285.0,12.1437,True
CHOLAFIN,-35683.0,-38538.0,2855.0,6.8634,True
GRASIM,-10719.0,-33833.0,23114.0,1.5471,True
INDUSINDBK,-16843.0,-17468.0,625.0,6.8857,True
M&M,-5630.0,-11245.0,5615.0,1.6414,True
PFC,-97820.0,-101229.0,3409.0,8.5219,True
PNB,-27939.0,-29445.0,1506.0,3.6843,True
RECLTD,-57723.0,-59554.0,1831.0,6.4249,True
SHRIRAMFIN,-31101.0,-31359.0,258.0,3.994,True
TVSMOTOR,-1253.0,-2254.0,1001.0,3.8334,True
